Name,RMM,pKa_donor,pKa_acceptor,fu,log10(human inferred CLh_int [L/s]),logD74
mol1,4.10E+02,3.764759213,6.960780044,0.216837813,-2.465886338,0.51083081
mol2,4.02E+02,13.74407697,11.41292874,0.322182766,-2.425643963,1.554335406
mol3,4.89E+02,11.41724605,8.094350012,0.064605782,-0.927489383,4.000631591
mol4,4.97E+02,8.898700969,4.936785381,0.038388001,0.226209497,1.023040298
mol5,5.79E+02,7.342665698,7.968563302,0.640666783,-2.395857773,-0.594440495
mol6,3.69E+02,5.038394025,9.896182009,0.174330748,-1.402801348,-1.154636568
mol7,3.09E+02,1.564722771,2.042185326,0.787656104,-1.305045058,-1.277458985
mol8,3.39E+02,8.286133212,6.521109577,0.813933297,-2.03311648,0.770154214
mol9,4.75E+02,4.494324944,2.09655102,0.608757277,-0.229099218,0.196784418
mol10,6.85E+02,5.030024491,2.720375094,0.052509957,-0.495486868,3.985877286
mol11,3.17E+02,3.491367492,3.962020169,0.25866801,-0.376857032,-1.286801611
mol12,4.18E+02,13.05090665,0.462839603,0.944267699,-1.508133302,2.269368716
mol13,2.53E+02,13.19601244,1.013778996,0.103909712,-0.538687654,1.493674598
mol14,4.61E+02,10.59088613,0.779305001,0.88167925,-2.250428313,-0.881966691
mol15,2.63E+02,10.98052649,0.969486229,0.888193253,-1.956960063,-0.624172237
mol16,2.33E+02,12.40711517,9.487474135,0.02167567,0.981421141,1.786155243
mol17,1.19E+02,8.384907306,6.649086229,0.832867845,2.334035093,-1.983831399
mol18,3.28E+02,13.75752957,9.636810989,0.414636146,-1.245342059,0.694053643
mol19,2.24E+02,12.5064514,8.402189665,0.252356847,-0.491728382,2.330997949
mol20,3.86E+02,12.02277028,0.353647132,0.705876363,0.050229099,0.323687528
mol21,3.78E+02,13.12103216,0.833866986,0.196185422,-1.489145849,0.480948965
mol22,5.02E+02,7.263550133,0.00202651,0.032592435,-0.700440821,1.116372387
mol23,3.13E+02,12.70999314,0.2648793,0.999466326,-3.183186592,-1.439177314
mol24,2.82E+02,10.87389837,5.341943506,0.278879979,-1.029848694,-1.009604984
mol25,4.71E+02,0.371537795,0.372383371,0.17491933,-2.775365955,-1.320355871
mol26,2.59E+02,12.02274559,5.167701894,0.990670766,-2.681861564,-1.524557389
mol27,6.40E+02,12.61385079,10.54840918,0.06999725,2.87327837,0.879146819
mol28,5.40E+02,10.95519379,8.029239121,0.927397838,-2.909389588,-0.022928648
mol29,2.51E+02,12.52792908,1.08690334,0.091049123,-1.08271943,1.081283664
mol30,3.01E+02,9.819351611,2.819121495,0.06835712,-1.266538792,2.58994328
mol31,3.30E+02,13.80099677,4.086262627,0.322034564,-0.333154652,2.917222938
mol32,1.59E+03,8.400814873,0.686751951,0.194816863,-1.613050841,1.604196854
mol33,2.12E+02,11.79676033,5.113313614,0.356211622,-1.563356531,-1.792715265
mol34,1.47E+02,12.48975343,6.358078236,0.075601504,0.914338698,-0.220867015
mol35,2.90E+02,4.348461611,1.186906814,0.178546148,-1.260911234,0.931130596
mol36,2.53E+02,6.369708686,5.643314886,0.019875402,-0.420454623,-1.237651168
mol37,2.65E+02,12.16525351,3.578177436,0.095617728,-1.806431544,2.055489172
mol38,4.80E+02,12.38636757,9.392399388,0.430814626,-1.156510001,2.005545361
mol39,5.43E+02,3.006932314,2.971574894,0.225596571,-0.068019405,0.702322246
mol40,2.72E+02,13.18066764,0.351678656,0.060689759,-1.3995234,5.022009145
mol41,5.36E+02,12.01393443,0.141939281,0.114741066,-0.97158825,3.642045599
mol42,2.85E+02,13.06659992,8.64806528,0.979812711,0.425139786,-0.435791566
mol43,7.40E+02,12.21813907,4.076511116,0.565739816,-3.196138269,2.52949422
mol44,1.27E+02,13.51770405,7.552084648,0.446802038,-1.602702415,1.716427891
