,neutral lipids,neutral Phospholipids,extracellular water,intracellular water,lipoprotein ratio,albumin ratio,acidic phospholipid fraction,intracellular protein,intracellular water pH
Lung,0.0031584,0.00589568,0.186098,0.64304,0.168,0.212,0.00147392,0.1464,6.6
Gut,0.043644578,0.016445783,0.089685783,0.704819277,0.141,0.158,0.003162651,0.135542169,7
Spleen,0.015701312,0.011553296,0.23727495,0.5735755,0.207,0.097,0.00214221,0.1420715,7
Heart,0.091791563,0.008147906,0.2326225,0.521775,0.16,0.157,0.003186563,0.1251,7.1
Muscle,0.010944156,0.007744502,0.1395735,0.679235,0.059,0.064,0.001599624,0.15045,6.81
Adipose,0.751912964,0.045037667,0.1302686,0.0172172,0.068,0.049,0.006312663,0.0395686,7.1
Kidney,0.034105262,0.015728544,0.15353085,0.6396935,0.137,0.13,0.003666249,0.141783,7.22
Skin,0.040755076,0.056835156,0.558294,0.1708,0.096,0.277,0.015649768,0.11592,7
Brain,0.041723156,0.051265624,0.00465245,0.8002785,0.041,0.048,0.01874972,0.08299295,7.1
Bone,0.0153,0.00198,0.093049,0.234,0.05,0.1,0.00072,0.189,7
Liver,0.05148941,0.015999815,0.2140127,0.557788,0.161,0.086,0.003590185,0.141141,7.23
RestOfBody,0,0,0,0,0,0,0,0,7
RBCs,0.002004,0.002505,0,0.6643,0.00E+00,0,0.000501,0.3307,7.2
Plasma,0.0073,0.005,0.9742813,0.93049,1.00E+00,1,9.70E-04,0.06951,7.4
