Tissue,Fcell,Fint,Fwcell,FlipidCell,FprotCell,FnLcell,fnPLcell,faPLcell,lipoprotein ratio,albumin ratio(rat),pHIW
Lung,0.8,0.2,0.8038,0.01316,0.183,0.3,0.56,0.14,0.168,0.212,6.6
Gut,0.9,0.096,0.78,0.07,0.15,0.69,0.26,0.05,0.141,0.158,7
Spleen,0.745,0.255,0.7699,0.03946,0.1907,0.5341,0.393,0.07287,0.207,0.097,7
Heart,0.75,0.25,0.6957,0.1375,0.1668,0.8901,0.07901,0.0309,0.16,0.157,7.1
Muscle,0.85,0.15,0.7991,0.02387,0.177,0.5394,0.3817,0.07884,0.059,0.064,6.81
Adipose,0.86,0.14,0.02002,0.934,0.04601,0.9361,0.05607,0.007859,0.068,0.049,7.1
Kidney,0.835,0.165,0.7661,0.06407,0.1698,0.6375,0.294,0.06853,0.137,0.13,7.22
Skin,0.4,0.6,0.427,0.2831,0.2898,0.3599,0.5019,0.1382,0.096,0.277,7
Brain,0.995,0.005,0.8043,0.1123,0.08341,0.3734,0.4588,0.1678,0.041,0.048,7.1
Bone,0.9,0.1,0.26,0.02,0.21,0.85,0.11,0.04,0.05,0.1,7
Liver,0.77,0.23,0.7244,0.09231,0.1833,0.7244,0.2251,0.05051,0.161,0.086,7.23
RestOfBody,0.800454545,0.199181818,0.622756364,0.162706364,0.168165455,0.621354545,0.30178,0.076864455,0.117090909,0.125272727,7.014545455
RBCs,1,0,0.6643,0.00501,0.3307,0.4,0.5,0.1,6.00E-04,0.029,7.2
Plasma,0,1,0.928,1,0.06951,0.0073,0.005,9.70E-04,1.00E+00,1,7.4
