Tissue,Fcell,Fint,Fwcell,FlipidCell,FprotCell,FnLcell,fnPLcell,faPLcell,lipoprotein ratio,albumin ratio(rat),pHIW
Lung,0.675,0.325,0.7554,0.0833,0.1613,0.5758,0.3219,0.1023,0.168,0.212,6.6
Gut,0.9,0.096,0.78,0.07,0.15,0.69,0.26,0.05,0.141,0.158,7
Spleen,0.745,0.255,0.645,0.03957,0.3154,0.3656,0.489,0.1453,0.207,0.097,7
Heart,0.86,0.14,0.764,0.03288,0.2031,0.5214,0.3948,0.0838,0.16,0.157,7.1
Muscle,0.876,0.124,0.7768,0.02319,0.2,0.5339,0.3844,0.08169,0.059,0.064,6.81
Adipose,0.86,0.14,0.02888,0.9192,0.05194,0.9977,0.001871,0.0004678,0.068,0.049,7.1
Kidney,0.854,0.146,0.7536,0.05266,0.1937,0.2925,0.5849,0.1226,0.137,0.13,7.22
Skin,0.681,0.319,0.522,0.06383,0.4142,0.8075,0.148,0.04441,0.096,0.277,7
Brain,0.838,0.162,0.8029,0.1154,0.08173,0.9535,0.03667,0.00978,0.041,0.048,7.1
Bone,0.9,0.1,0.26,0.02,0.21,0.85,0.11,0.04,0.05,0.1,7
Liver,0.873,0.127,0.6818,0.0622,0.256,0.3305,0.5619,0.1076,0.161,0.086,7.23
RestOfBody,0,0,0,0,0,0,0,0,0,0,0
RBCs,1,0,0.664,0.005015,0.331,0.2273,0.6591,0.1136,6.00E-04,0.029,7.2
Plasma,0,1,0.928,1,0.05871,0.00174,0.005,9.70E-04,1.00E+00,1,7.4
